PLAYER_ID,PLAYER,AVG_TTG_SG,AVG_Total_SG,AVG_Putting_SG,AVG_Scoring,TOTAL ROUNDS,AVG_Driver,%_FWY,%_GIR,VICTORIES,TOP 10
30911,Tommy Fleetwood,0.618,0.659,0.04,69.92,71,300.4,60.70137096774194,67.29,0,4
47420,Jake Knapp,-0.241,-0.323,-0.082,70.79,78,309.5,54.24,65.41,1,4
48153,Matthieu Pavon,-0.138,-0.014,0.125,70.54,67,300.9,61.67,65.96,1,4
29936,Ryan Fox,-0.049,0.132,0.181,70.28,78,310.9,60.70137096774194,65.95,0,3
40098,Matt Fitzpatrick,-0.011,0.406,0.417,70.37,71,299.0,66.67,64.4,0,3
45522,Christiaan Bezuidenhout,0.181,0.641,0.459,69.89,80,290.7,61.67,62.06,0,3
47483,Will Zalatoris,0.197,0.016,-0.181,70.46,70,302.5,68.33,65.32,0,3
34587,Chan Kim,0.92,0.508,-0.412,69.32,84,301.8,58.18,70.69,0,3
39977,Max Homa,-0.029,-0.054,-0.025,70.75,79,300.2,71.67,63.71,0,3
25493,Nick Taylor,0.175,0.133,-0.042,70.34,86,293.2,70.69,64.79,1,3
35461,Beau Hossler,0.097,0.593,0.496,69.35,89,302.7,60.70137096774194,69.54,0,3
52513,Carson Young,0.128,0.257,0.129,69.53,90,295.6,67.86,69.57,0,3
37455,Si Woo Kim,0.98,0.761,-0.218,69.63,92,294.8,67.05,65.4,0,3
60067,Joe Highsmith,0.294,0.026,-0.269,69.64,74,306.5,46.43,70.32,0,3
59143,Mac Meissner,0.762,0.706,-0.056,69.4,75,302.8,55.36,69.98,0,3
34046,Jordan Spieth,0.271,0.265,-0.006,70.34,70,306.9,60.70137096774194,65.87,0,3
51894,Vince Whaley,-0.694,-0.177,0.518,69.67,76,306.0,50.0,66.74,0,3
36801,Mark Hubbard,0.28,0.297,0.017,69.5,103,294.7,71.43,68.18,0,3
47679,Victor Perez,0.356,0.482,0.126,69.75,72,301.1,60.70137096774194,68.52,0,3
12716,Charley Hoffman,0.357,0.116,-0.241,69.9,73,304.4,56.6,66.98,0,3
56630,Akshay Bhatia,0.403,0.748,0.345,69.94,89,299.8,66.67,66.02,1,3
32757,Patton Kizzire,0.455,0.288,-0.167,69.66,65,301.7,62.79,71.95,1,3
57362,Austin Eckroat,0.473,0.301,-0.172,70.18,94,300.8,70.45,66.17,2,3
33141,Keegan Bradley,0.482,0.34,-0.141,70.29,79,305.5,64.66,67.09,1,3
29908,C.T. Pan,0.496,0.541,0.045,69.85,59,294.4,63.64,67.8,0,3
27644,Brian Harman,0.497,0.788,0.291,69.93,87,292.7,64.66,65.84,0,3
30926,Chris Kirk,0.532,0.105,-0.427,70.26,81,299.9,63.64,65.8,1,3
48867,Matti Schmid,0.051,0.311,0.26,69.85,81,308.2,66.67,69.73,0,3
27936,Martin Laird,-0.382,-0.218,0.164,70.04,75,290.5,60.70137096774194,69.37,0,2
49947,Taylor Moore,0.02,0.21,0.19,70.19,99,306.8,60.71,66.39,0,2
34256,Andrew Putnam,0.007,0.297,0.289,69.89,83,280.8,66.07,68.92,0,2
22405,Justin Rose,-0.467,-0.445,0.022,70.54,61,297.5,60.70137096774194,63.3,0,2
25900,Lucas Glover,0.861,0.646,-0.215,69.94,93,289.9,73.21,69.12,0,2
34563,Chesson Hadley,-0.312,-0.046,0.265,70.11,70,305.0,60.70137096774194,68.43,0,2
32070,Rafael Campos,-0.434,-0.723,-0.288,70.47,60,303.8,60.47,68.33,1,2
27139,David Skinns,-0.077,-0.159,-0.082,70.22,85,302.8,53.57,69.99,0,2
31646,Emiliano Grillo,-0.079,0.05,0.129,70.49,85,292.5,50.0,65.88,0,2
38991,Alejandro Tosti,-0.3,-0.713,-0.414,70.86,72,315.6,64.29,65.06,0,2
36871,Matt NeSmith,-0.297,-0.484,-0.187,70.58,76,297.7,60.70137096774194,70.6,0,2
36884,Ben Kohles,-0.148,-0.348,-0.201,70.35,89,290.9,71.43,70.0,0,2
52375,Doug Ghim,1.062,0.871,-0.191,69.19,94,297.2,57.14,72.65,0,2
32333,Kevin Tway,-0.217,0.145,0.362,69.63,60,306.2,60.70137096774194,70.28,0,2
40058,Zac Blair,0.027,-0.087,-0.114,70.21,86,283.0,60.70137096774194,66.67,0,2
45157,Cam Davis,-0.172,-0.426,-0.254,70.68,80,303.2,62.35,63.49,1,2
30927,Brendon Todd,-0.521,-0.112,0.409,70.43,99,279.8,50.0,63.08,0,2
59836,Pierceson Coody,-0.579,-0.074,0.505,70.12,81,312.6,60.70137096774194,68.66,0,2
40026,Daniel Berger,0.691,0.287,-0.404,69.64,80,298.1,74.07,71.2,0,2
57975,Harry Hall,0.392,0.672,0.279,69.22,83,301.5,52.59,66.39,1,2
55182,Tom Kim,0.452,0.371,-0.081,70.11,82,299.0,52.73,66.17,0,2
34466,Peter Malnati,-0.836,-0.578,0.257,71.04,78,297.7,58.62,61.41,1,2
48084,Wesley Bryan,0.04,-0.118,-0.158,69.62,50,302.6,60.70137096774194,69.78,0,2
