PLAYER_ID,PLAYER,SG_T,SG_P,SG_ATG,SP_APP,SG_OTT,Average_Score,ROUNDS,GIR_%,FWY_%,Drive_Distance,VICTORIES,TOP 10
47591,Eric Cole,0.287,0.258,0.172,0.204,-0.346,70.11,111,62.67,65.22,297.2,0,5
29725,Tony Finau,1.033,-0.296,0.36,0.808,0.161,69.72,83,68.99,61.67,308.4,0,5
58168,Davis Thompson,1.06,0.042,0.432,0.306,0.28,69.34,94,68.64,64.77,306.3,1,5
24502,Adam Scott,0.938,0.399,0.104,0.114,0.321,69.63,71,66.35,60.0,307.1,0,5
36699,Patrick Rodgers,0.208,0.125,0.086,-0.191,0.189,69.69,100,69.83,64.29,306.1,0,5
40162,Justin Lower,0.201,0.35,-0.081,0.166,-0.234,69.59,101,69.59,60.71,295.2,0,5
33399,Adam Hadwin,-0.028,0.023,0.004,-0.053,-0.002,70.39,83,64.91,63.48,297.6,0,5
54591,Ben Griffin,0.716,0.238,0.271,0.327,-0.12,69.05,116,69.79,51.79,295.6,0,5
54576,Patrick Fishburn,0.48,0.078,-0.13,-0.083,0.616,69.34,73,74.21,58.93,308.8,0,5
33948,Byeong Hun An,0.499,-0.079,-0.006,0.181,0.404,70.01,75,67.63,60.47,317.1,0,5
45242,Kevin Yu,0.336,-0.288,-0.233,0.319,0.539,69.53,77,71.54,73.33,308.0,1,5
39324,J.J. Spaun,0.39,-0.035,-0.029,0.469,-0.016,69.74,80,70.9,50.91,301.5,0,4
59866,Nick Dunlap,-0.155,-0.006,-0.109,0.205,-0.245,70.38,71,64.26,50.88,307.3,2,4
36799,Stephan Jaeger,0.392,0.01,0.159,-0.086,0.309,70.04,83,66.03,56.14,310.3,1,4
51890,Greyson Sigg,0.08,-0.502,0.234,0.414,-0.066,69.84,80,71.49,64.29,294.0,0,4
47993,Denny McCarthy,0.716,0.699,0.358,-0.017,-0.324,69.95,87,62.64,59.48,290.6,0,4
34099,Harris English,0.359,0.491,0.097,-0.325,0.095,70.05,93,65.89,64.29,301.9,0,4
51696,Rico Hoey,0.423,-0.254,-0.064,0.155,0.586,69.52,87,70.9,63.64,309.3,0,4
27349,Alex Noren,1.011,0.213,0.394,0.286,0.118,69.41,73,68.28,60.70137096774194,295.5,0,4
35450,Patrick Cantlay,0.664,0.234,0.218,0.024,0.187,69.86,69,63.08,61.67,302.7,0,4
39546,Keith Mitchell,0.822,-0.33,0.006,0.531,0.615,69.28,85,70.44,54.55,311.8,0,4
32791,K.H. Lee,0.209,0.155,0.168,-0.233,0.118,69.83,82,67.66,67.86,301.9,0,4
33653,Thomas Detry,0.231,0.532,-0.226,-0.196,0.12,69.99,70,63.35,62.93,303.3,0,4
28089,Jason Day,0.483,0.541,0.153,-0.343,0.132,69.95,73,63.45,60.0,300.8,0,4
49960,Sepp Straka,0.205,-0.018,-0.333,0.303,0.253,70.51,77,67.53,77.59,294.7,0,4
36326,David Lipsky,-0.397,-0.385,0.139,0.263,-0.415,70.38,72,68.28,55.36,289.6,0,4
40006,Erik van Rooyen,0.56,0.403,-0.216,0.095,0.278,69.66,83,69.83,60.71,308.2,0,4
55893,Sam Stevens,0.541,0.306,0.098,-0.296,0.433,69.44,102,70.01,51.79,306.3,0,4
35532,Tom Hoge,0.483,0.037,-0.247,0.754,-0.062,69.81,105,67.66,57.39,296.2,0,4
51349,Nico Echavarria,0.023,0.083,-0.062,0.03,-0.029,69.53,92,70.08,60.34,295.4,1,4
30911,Tommy Fleetwood,0.659,0.04,0.218,0.099,0.302,69.92,71,67.29,60.70137096774194,300.4,0,4
48117,Kurt Kitayama,0.738,-0.433,0.118,0.608,0.446,69.54,79,68.85,58.18,308.7,0,4
50484,Hayden Springer,0.357,0.177,0.031,-0.119,0.269,69.72,75,69.21,60.70137096774194,311.1,0,4
39997,Corey Conners,0.962,-0.168,-0.057,0.776,0.411,69.78,87,70.31,68.18,301.2,0,4
47420,Jake Knapp,-0.323,-0.082,-0.197,0.001,-0.045,70.79,78,65.41,54.24,309.5,1,4
48153,Matthieu Pavon,-0.014,0.125,-0.414,0.249,0.027,70.54,67,65.96,61.67,300.9,1,4
25493,Nick Taylor,0.133,-0.042,0.051,0.243,-0.12,70.34,86,64.79,70.69,293.2,1,3
29908,C.T. Pan,0.541,0.045,0.36,0.159,-0.023,69.85,59,67.8,63.64,294.4,0,3
47483,Will Zalatoris,0.016,-0.181,-0.127,0.197,0.128,70.46,70,65.32,68.33,302.5,0,3
32757,Patton Kizzire,0.288,-0.167,0.059,0.458,-0.062,69.66,65,71.95,62.79,301.7,1,3
36801,Mark Hubbard,0.297,0.017,-0.024,0.249,0.054,69.5,103,68.18,71.43,294.7,0,3
51894,Vince Whaley,-0.177,0.518,0.263,-0.337,-0.62,69.67,76,66.74,50.0,306.0,0,3
40098,Matt Fitzpatrick,0.406,0.417,0.075,-0.122,0.036,70.37,71,64.4,66.67,299.0,0,3
45522,Christiaan Bezuidenhout,0.641,0.459,0.177,0.237,-0.233,69.89,80,62.06,61.67,290.7,0,3
35461,Beau Hossler,0.593,0.496,0.385,-0.374,0.086,69.35,89,69.54,60.70137096774194,302.7,0,3
47679,Victor Perez,0.482,0.126,-0.033,0.305,0.084,69.75,72,68.52,60.70137096774194,301.1,0,3
27644,Brian Harman,0.788,0.291,0.092,0.322,0.083,69.93,87,65.84,64.66,292.7,0,3
